1 1 3 13/04/2023
2 1 1 13/04/2023
3 2 2 13/04/2023
1 1 3 13/04/2023
2 2 2 13/04/2023
3 1 1 13/04/2023
3 1 1 16/04/2023
3 1 1 16/04/2023
3 1 1 16/04/2023
3 1 1 16/04/2023
3 1 1 16/04/2023
4 1 3 16/04/2023
1 1 1 16/04/2023
2 2 2 16/04/2023
3 1 3 16/04/2023
4 1 1 17/04/2023
5 2 2 17/04/2023
1 1 2 17/04/2023
2 2 3 17/04/2023
3 1 1 17/04/2023
4 2 2 17/04/2023
4 1 2 17/04/2023
5 1 3 17/04/2023
5 1 3 18/04/2023
5 1 3 18/04/2023
5 1 3 19/04/2023
1 1 3 19/04/2023 10:11
1 1 2 19/04/2023
2 1 3 19/04/2023 10:22
1 1 3 20/04/2023 13:37:12
1 1 3 21/04/2023 11:58
1 1 2 21/04/2023 11:58
1 1 1 21/04/2023 12:05
1 1 3 21/04/2023 12:11
2 1 2 21/04/2023 12:11
1 1 3 21/04/2023 12:46
2 1 2 21/04/2023 12:47
1 1 3 21 4 2023 13 49
1 1 3 21/4/2023 13:53
2 1 2 21/4/2023 13:54
1 1 3 21/4/2023 14:23
2 1 2 21/4/2023 14:23
1 1 3 21/4/2023 14:30
2 1 1 21/4/2023 14:30
2 2 2 21/4/2023 15:1
1 1 3 21/4/2023 15:14
2 1 1 21/4/2023 15:14
3 2 2 21/4/2023 15:16
3 2 2 21/4/2023 15:22
3 1 2 29/4/2023 15:19
1 1 3 29/4/2023 15:21
2 1 1 29/4/2023 15:21
3 1 2 29/4/2023 15:21
1 1 3 29/4/2023 15:48
1 1 2 29/4/2023 15:56
2 1 3 29/4/2023 15:56
1 1 3 4/5/2023 9:31
2 1 1 4/5/2023 9:31
3 2 2 4/5/2023 9:31
4 1 1 4/5/2023 9:54
2 1 2 4/5/2023 10:17
1 1 3 4/5/2023 10:21
2 1 1 4/5/2023 10:21
3 2 2 4/5/2023 10:21
1 1 3 4/5/2023 10:33
2 1 1 4/5/2023 10:33
3 2 2 4/5/2023 10:33
1 1 3 4/5/2023 11:51
2 1 1 4/5/2023 11:51
1 1 3 4/5/2023 12:0
2 1 1 4/5/2023 12:0
2 2 2 4/5/2023 12:0
1 1 3 4/5/2023 12:8
1 1 3 4/5/2023 12:14
2 1 1 4/5/2023 12:14
1 1 3 4/5/2023 12:29
1 1 3 4/5/2023 12:37
2 2 1 4/5/2023 12:37
3 1 2 4/5/2023 12:37
1 1 3 4/5/2023 14:56
2 2 2 4/5/2023 14:56
3 1 1 4/5/2023 14:56
1 1 3 9/5/2023 12:32
1 1 4 10/5/2023 12:20
1 1 3 10/5/2023 12:21
1 1 2 10/5/2023 15:25
1 2 3 10/5/2023 15:26
1 1 3 10/5/2023 15:26
1 2 2 10/5/2023 15:29
2 2 3 10/5/2023 15:30
1 1 3 10/5/2023 15:32
